Campaign name,Ad Group Name,Date,Ad Name,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
K | ABO | 23-10-2023 | scale up,Ad group7,2023-10-31,zym nanda16.mov_2023-10-23 08:59:01,436929,3055,18310,23862,143,0.60,9,48547,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-11-23,zym nanda16.mov_2023-10-23 08:59:01,436851,3610,13273,32911,121,0.37,9,48539,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-11-13,zym nanda16.mov_2023-10-23 08:59:01,436341,4077,14583,29920,107,0.36,7,62334,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-11-20,zym nanda20.mov_2023-09-09 09:07:58,435803,3998,20184,21591,109,0.50,10,43580,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-01-13,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,435248,2501,8351,52118,174,0.33,10,43524,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2023-11-11,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,435194,3538,13447,32363,123,0.38,5,87038,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-02-07,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,435104,1843,9255,47012,236,0.50,5,87020,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-03-08,zym nanda20.mov_2023-09-09 09:07:58,434989,4677,17562,24768,93,0.38,7,62141,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-03-24,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,434919,2588,11193,38854,168,0.43,0,0,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-11-04,zym nanda20.mov_2023-09-09 09:07:58,434307,3680,17956,24187,118,0.49,11,39482,IDR
